,name,category,year,birth_date,birth_country,death_date,prize_share,affiliation,motivation,uni_region,uni_country,founding_year,uni_rank,wiki_summary,wiki_url,wiki_other_languages,wiki_category,amount_wiki_categories,amount_NYT_articles
929,Otto Wallach,The Nobel Prize in Chemistry,1910,1847,Russia),1931, 1/1 ,"Goettingen University, Göttingen, Germany ", “in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds” ,,,,,Otto Wallach (German pronunciation: [ˈɔto ˈvalax] (listen); 27 March 1847 – 26 February 1931) was a German chemist and recipient of the 1910 Nobel Prize in Chemistry for his work on alicyclic compounds.,https://en.wikipedia.org/wiki/Otto_Wallach,70,"['1847 births', '1931 deaths', '19th-century German chemists', '20th-century German chemists', 'Academic staff of the University of Bonn', 'Academic staff of the University of Göttingen', 'All articles with unsourced statements', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with CINII identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Leopoldina identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with hAudio microformats', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from August 2017', 'Commons category link from Wikidata', 'German Nobel laureates', 'Humboldt University of Berlin alumni', 'Nobel laureates in Chemistry', 'Nobelprize template using Wikidata property P8024', 'People from the Province of Prussia', 'Scientists from Königsberg', 'Short description is different from Wikidata', 'University of Göttingen alumni', 'Use dmy dates from June 2015']",38,0
930,Albrecht Kossel,The Nobel Prize in Physiology or Medicine,1910,1853,Mecklenburg (now Germany),1927, 1/1 ,"University of Heidelberg, Heidelberg, Germany "," “in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances” ",,,,,"Ludwig Karl Martin Leonhard Albrecht Kossel (German pronunciation: [ˈalbʁɛçt ˈkɔsl̩] (listen); 16 September 1853 – 5 July 1927) was a German biochemist and pioneer in the study of genetics. He was awarded the Nobel Prize for Physiology or Medicine in 1910 for his work in determining the chemical composition of nucleic acids, the genetic substance of biological cells.
Kossel isolated and described the five organic compounds that are present in nucleic acid: adenine, cytosine, guanine, thymine, and uracil. These compounds were later shown to be nucleobases, and are key in the formation of DNA and RNA, the genetic material found in all living cells.
Kossel was an important influence on and collaborator with other important researchers in biochemistry, including Henry Drysdale Dakin, Friedrich Miescher, Edwin B. Hart, and his professor and mentor, Felix Hoppe-Seyler. Kossel was editor of the Zeitschrift für Physiologische Chemie (Journal of Physiological Chemistry) from 1895 until his death.  Kossel also conducted important research into the composition of protein, and his research predicted the discovery of the polypeptide nature of the protein molecule.
The Albrecht Kossel Institute for Neuroregeneration at the University of Rostock is named in his honor.",https://en.wikipedia.org/wiki/Albrecht_Kossel,60,"['1853 births', '1927 deaths', 'Academic staff of Heidelberg University', 'Academic staff of the Humboldt University of Berlin', 'Academic staff of the University of Marburg', 'All articles with unsourced statements', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CINII identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with LCCN identifiers', 'Articles with Leopoldina identifiers', 'Articles with NKC identifiers', 'Articles with NTA identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with hAudio microformats', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from August 2022', 'CS1', 'Foreign associates of the National Academy of Sciences', 'German Nobel laureates', 'German physiologists', 'History of genetics', 'Nobel laureates in Physiology or Medicine', 'Nobelprize template using Wikidata property P8024', 'People from Rostock', 'People from the Grand Duchy of Mecklenburg-Schwerin', 'Physicians of the Charité', 'Short description matches Wikidata', 'University of Rostock alumni', 'University of Strasbourg alumni', 'Use dmy dates from July 2018']",38,2
931,Paul Johann Ludwig Heyse,The Nobel Prize in Literature,1910,1830,Prussia (now Germany),1914, 1/1 ,," “as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories” ",,,,,"Paul Johann Ludwig von Heyse (German: [paʊl ˈhaɪzə] (listen); 15 March 1830 – 2 April 1914) was a distinguished German writer and translator. A member of two important literary societies, the Tunnel über der Spree in Berlin and Die Krokodile in Munich, he wrote novels, poetry, 177 short stories, and about sixty dramas. The sum of Heyse's many and varied productions made him a dominant figure among German men of letters. He was awarded the 1910 Nobel Prize in Literature ""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories."" Wirsen, one of the Nobel judges, said that ""Germany has not had a greater literary genius since Goethe."" Heyse is the fifth oldest laureate in literature, after Alice Munro, Jaroslav Seifert, Theodor Mommsen and Doris Lessing.",https://en.wikipedia.org/wiki/Paul_Heyse,84,"['1830 births', '1914 deaths', '19th-century German dramatists and playwrights', '19th-century German male writers', '19th-century German novelists', '19th-century German poets', '20th-century German novelists', 'All articles needing additional references', 'All articles with dead external links', 'All articles with unsourced statements', 'Articles containing German-language text', 'Articles needing additional references from July 2022', 'Articles needing additional references from March 2017', 'Articles with BIBSYS identifiers', 'Articles with BMLO identifiers', 'Articles with BNC identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with CINII identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with Internet Archive links', 'Articles with J9U identifiers', 'Articles with KANTO identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with LibriVox links', 'Articles with Libris identifiers', 'Articles with MusicBrainz identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NLG identifiers', 'Articles with NLK identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with PortugalA identifiers', 'Articles with Project Gutenberg links', 'Articles with RISM identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with ULAN identifiers', 'Articles with VIAF identifiers', 'Articles with VcBA identifiers', 'Articles with dead external links from December 2017', 'Articles with hAudio microformats', 'Articles with permanently dead external links', 'Articles with short description', 'Articles with unsourced statements from January 2022', 'Commons category link from Wikidata', 'German Nobel laureates', 'German Protestants', 'German male dramatists and playwrights', 'German male novelists', 'German male poets', 'German people of Jewish descent', 'German-language poets', 'Humboldt University of Berlin alumni', 'Nobel laureates in Literature', 'Nobelprize template using Wikidata property P8024', 'People from the Province of Brandenburg', 'Short description is different from Wikidata', 'University of Bonn alumni', 'Use dmy dates from August 2016', 'Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference', 'Writers from Berlin']",73,0
932,Bureau international permanent de la Paix (Permanent International Peace Bureau),The Nobel Peace Prize,1910,,,, 1/1 ,," “for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement” ",,,,,,,0,[],0,0
933,Guglielmo Marconi,The Nobel Prize in Physics,1909,1874,Italy,1937, 1/2 ,"Marconi Wireless Telegraph Co. Ltd., London, United Kingdom ", “in recognition of their contributions to the development of wireless telegraphy” ,,,,,"Guglielmo Giovanni Maria Marconi, 1st Marquis of Marconi  (Italian: [ɡuʎˈʎɛlmo marˈkoːni]; 25 April 1874 – 20 July 1937) was an Italian inventor and electrical engineer, known for his creation of a practical radio wave-based wireless telegraph system. This led to Marconi being credited as the inventor of radio, and he shared the 1909 Nobel Prize in Physics with Karl Ferdinand Braun ""in recognition of their contributions to the development of wireless telegraphy"".Marconi was also an entrepreneur, businessman, and founder of The Wireless Telegraph & Signal Company in the United Kingdom in 1897 (which became the Marconi Company). In 1929, Marconi was ennobled as a Marchese (marquis) by King Victor Emmanuel III of Italy, and, in 1931, he set up Vatican Radio for Pope Pius XI.",https://en.wikipedia.org/wiki/Guglielmo_Marconi,112,"['1874 births', '1937 deaths', '19th-century Italian inventors', '20th-century Italian physicists', 'All articles needing additional references', 'Amateur radio people', 'Articles needing additional references from December 2016', 'Articles with BNC identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with DBI identifiers', 'Articles with DIB identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with MusicBrainz identifiers', 'Articles with NARA identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NLG identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with VcBA identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'Biography with signature', 'Businesspeople from Bologna', 'CS1 Austrian German-language sources (de-at)', 'CS1 Dutch-language sources (nl)', 'CS1 Italian-language sources (it)', 'CS1 maint', 'CS1 maint', 'CS1', 'Commons category link is on Wikidata', 'Converts to Roman Catholicism from Anglicanism', 'Engineers from Bologna', 'European amateur radio operators', 'Experimental physicists', 'Foreign associates of the National Academy of Sciences', 'Guglielmo Marconi', 'History of radio', 'Honorary Knights Grand Cross of the Royal Victorian Order', 'IEEE Medal of Honor recipients', 'Italian Nobel laureates', 'Italian Roman Catholics', 'Italian electrical engineers', 'Italian emigrants to the United States', 'Italian expatriates in England', 'Italian fascists', 'Italian military personnel of World War I', 'Italian people of Irish descent', 'Italian people of Scottish descent', 'John Fritz Medal recipients', 'Members of the Grand Council of Fascism', 'Members of the Pontifical Academy of Sciences', 'Members of the Royal Academy of Italy', 'Members of the Senate of the Kingdom of Italy', 'Nobel laureates in Physics', 'Nobelprize template using Wikidata property P8024', 'Nobility from Bologna', 'Radio pioneers', 'Recipients of the Matteucci Medal', 'Recipients of the Order of Merit for Labour', 'Recipients of the Order of St. Anna', 'Recipients of the Order of the Crown (Italy)', 'Rectors of the University of St Andrews', 'Short description is different from Wikidata', 'Use British English from February 2021', 'Use dmy dates from January 2021', 'Webarchive template wayback links', 'Wikipedia articles incorporating a citation from the 1922 Encyclopaedia Britannica with Wikisource reference']",84,198
934,Karl Ferdinand Braun,The Nobel Prize in Physics,1909,1850,Hesse-Kassel (now Germany),1918, 1/2 ,"Strasbourg University, Strasbourg, Germany (now France) ", “in recognition of their contributions to the development of wireless telegraphy” ,,,,,"Karl Ferdinand Braun (German pronunciation: [ˈfɛʁdinant ˈbʁaʊn] (listen); 6 June 1850 – 20 April 1918) was a German electrical engineer, inventor, physicist and Nobel laureate in physics. Braun contributed significantly to the development of radio and television technology: he shared the 1909 Nobel Prize in Physics with Guglielmo Marconi ""for their contributions to the development of wireless telegraphy"", was a founder of Telefunken, one of the pioneering communications and television companies, and has been both called the ""father of television"" (shared with inventors like Paul Gottlieb Nipkow) and the co-father of the radio telegraphy, together with Marconi.",https://en.wikipedia.org/wiki/Karl_Ferdinand_Braun,89,"['1850 births', '1918 deaths', '19th-century German inventors', '19th-century German physicists', '20th-century German inventors', '20th-century German physicists', 'Academic staff of the Karlsruhe Institute of Technology', 'Academic staff of the University of Marburg', 'Academic staff of the University of Strasbourg', 'Academic staff of the University of Tübingen', 'Academic staff of the University of Würzburg', 'All articles with unsourced statements', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with MGP identifiers', 'Articles with MusicBrainz identifiers', 'Articles with NKC identifiers', 'Articles with NTA identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hAudio microformats', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from May 2018', 'CS1 German-language sources (de)', 'Commons category link from Wikidata', 'Experimental physicists', 'German Nobel laureates', 'Humboldt University of Berlin alumni', 'Nobel laureates in Physics', 'Nobelprize template using Wikidata property P8024', 'People from Fulda', 'People from the Electorate of Hesse', 'Short description is different from Wikidata', 'Television pioneers', 'University of Marburg alumni', 'Use dmy dates from December 2020']",47,0
935,Wilhelm Ostwald,The Nobel Prize in Chemistry,1909,1853,Russian Empire (now Latvia),1932, 1/1 ,"Leipzig University, Leipzig, Germany ", “in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction” ,,,,,"Friedrich Wilhelm Ostwald (German pronunciation: [ˈvɪlhɛlm ˈɔstˌvalt] (listen); 2 September [O.S. 21 August] 1853 – 4 April 1932) was a Baltic German chemist and philosopher.  Ostwald is credited with being one of the founders of the field of physical chemistry, with Jacobus Henricus van 't Hoff, Walther Nernst, and Svante Arrhenius.
He received the Nobel Prize in Chemistry in 1909 for his scientific contributions to the fields of catalysis, chemical equilibria and reaction velocities.Following his 1906 retirement from academic life, Ostwald became much involved in philosophy, art, and politics. He made significant contributions to each of these fields. He has been described as a polymath.",https://en.wikipedia.org/wiki/Wilhelm_Ostwald,80,"['1853 births', '1932 deaths', 'Academic staff of Leipzig University', 'Academic staff of Riga Technical University', 'Articles with BIBSYS identifiers', 'Articles with BNC identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with BPN identifiers', 'Articles with CANTICN identifiers', 'Articles with CINII identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with Internet Archive links', 'Articles with J9U identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with Leopoldina identifiers', 'Articles with LibriVox links', 'Articles with Libris identifiers', 'Articles with MGP identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NLG identifiers', 'Articles with NLK identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with PortugalA identifiers', 'Articles with Project Gutenberg links', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with ULAN identifiers', 'Articles with VIAF identifiers', 'Articles with VcBA identifiers', 'Articles with ZBMATH identifiers', 'Articles with hAudio microformats', 'Articles with hCards', 'Articles with short description', 'Baltic German people from the Russian Empire', 'CS1 French-language sources (fr)', 'CS1 German-language sources (de)', 'CS1 Ido-language sources (io)', 'CS1 errors', 'CS1', 'Chemists from the Russian Empire', 'Commons category link from Wikidata', 'Corresponding members of the Saint Petersburg Academy of Sciences', 'Emigrants from the Russian Empire to Germany', 'Expatriates from the Russian Empire in the United States', 'Foreign associates of the National Academy of Sciences', 'Idists', 'Inventors from the Russian Empire', 'Members of the Prussian Academy of Sciences', 'Members of the Royal Netherlands Academy of Arts and Sciences', 'Members of the Royal Swedish Academy of Sciences', 'Nobel laureates from the Russian Empire', 'Nobel laureates in Chemistry', 'Nobelprize template using Wikidata property P8024', 'People from the Governorate of Livonia', 'Rare earth scientists', 'Riga State Gymnasium No.1 alumni', 'Scientists from Riga', 'Short description is different from Wikidata', 'University of Tartu alumni', 'Use dmy dates from September 2022']",73,2
936,Emil Theodor Kocher,The Nobel Prize in Physiology or Medicine,1909,1841,Switzerland,1917, 1/1 ,"Berne University, Bern, Switzerland "," “for his work on the physiology, pathology and surgery of the thyroid gland” ",,,,,"Emil Theodor Kocher (25 August 1841 – 27 July 1917) was a Swiss physician and medical researcher who received the 1909 Nobel Prize in Physiology or Medicine for his work in the physiology, pathology and surgery of the thyroid. Among his many accomplishments are the introduction and promotion of aseptic surgery and scientific methods in surgery, specifically reducing the mortality of thyroidectomies below 1% in his operations.
He was the first Swiss citizen and first surgeon to ever receive a Nobel Prize in Medicine. He was considered a pioneer and leader in the field of surgery in his time.",https://en.wikipedia.org/wiki/Emil_Theodor_Kocher,58,"['1841 births', '1917 deaths', '19th-century Swiss physicians', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with HDS identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with Internet Archive links', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NLG identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'CS1 German-language sources (de)', 'CS1 errors', 'CS1', 'CS1', 'Nobel laureates in Physiology or Medicine', 'Nobelprize template using Wikidata property P8024', 'Scientists from Bern', 'Short description is different from Wikidata', 'Swiss Nobel laureates', 'Swiss people of the Moravian Church', 'Use dmy dates from July 2020', 'Webarchive template wayback links', 'Wikipedia articles incorporating a citation from the Encyclopedia Americana with a Wikisource reference', 'Wikipedia articles incorporating a citation from the New International Encyclopedia']",42,1
937,Selma Ottilia Lovisa Lagerlöf,The Nobel Prize in Literature,1909,1858,Sweden,1940, 1/1 ,," “in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings” ",,,,,"Selma Ottilia Lovisa Lagerlöf (, US also , Swedish: [ˈsɛ̂lːma ˈlɑ̂ːɡɛˌɭøːv] (listen); 20 November 1858 – 16 March 1940) was a Swedish writer. She published her first novel, Gösta Berling's Saga, at the age of 33. She was the first woman to win the Nobel Prize in Literature, which she was awarded in 1909. Additionally, she was the first woman to be granted a membership in the Swedish Academy in 1914.",https://en.wikipedia.org/wiki/Selma_Lagerl%C3%B6f,113,"['1858 births', '1940 deaths', '19th century in Landskrona', '19th-century Swedish novelists', '20th-century Swedish novelists', 'All articles with dead external links', 'All articles with unsourced statements', 'Articles containing Swedish-language text', 'Articles with BIBSYS identifiers', 'Articles with BNC identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with CINII identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with Internet Archive links', 'Articles with J9U identifiers', 'Articles with KANTO identifiers', 'Articles with KBR identifiers', 'Articles with KULTURNAV identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with LibriVox links', 'Articles with Libris identifiers', 'Articles with MusicBrainz identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NLG identifiers', 'Articles with NLK identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with Open Library links', 'Articles with PLWABN identifiers', 'Articles with PortugalA identifiers', 'Articles with Project Gutenberg links', 'Articles with RISM identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Swedish-language sources (sv)', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with VcBA identifiers', 'Articles with dead external links from September 2022', 'Articles with hAudio microformats', 'Articles with short description', 'Articles with unsourced statements from December 2020', 'CS1 Swedish-language sources (sv)', 'CS1', 'Commons link is on Wikidata', 'Cultural history of Landskrona', 'LGBT Lutherans', 'LGBT Nobel laureates', 'Liberals (Sweden) politicians', 'Litteris et Artibus recipients', 'Lutheran pacifists', 'Lutheran writers', 'Members of the Swedish Academy', 'Nobel laureates in Literature', 'Nobelprize template using Wikidata property P8024', 'Open Library ID same as Wikidata', 'People from Sunne Municipality', 'Recipients of the Illis quorum', 'SKBL template using Wikidata property P4963', 'Selma Lagerlöf', 'Short description is different from Wikidata', 'Swedish Christian pacifists', 'Swedish LGBT novelists', 'Swedish Lutherans', 'Swedish Nobel laureates', ""Swedish children's writers"", 'Swedish feminists', 'Swedish short story writers', 'Swedish suffragists', ""Swedish women children's writers"", 'Swedish women novelists', 'Swedish-language writers', 'Use dmy dates from December 2017', ""Wikipedia articles incorporating a citation from Collier's Encyclopedia"", 'Wikipedia articles incorporating a citation from the 1922 Encyclopaedia Britannica with Wikisource reference', 'Wikipedia articles incorporating a citation from the Encyclopedia Americana with a Wikisource reference', 'Wikipedia articles needing clarification from December 2020', 'Wikipedia articles needing clarification from September 2018', 'Women Nobel laureates', 'Writers from Värmland']",90,0
938,Auguste Marie François Beernaert,The Nobel Peace Prize,1909,1829,Belgium,1912, 1/2 ,, “for their prominent position in the international movement for peace and arbitration” ,,,,,"Auguste Marie François Beernaert (26 July 1829 – 6 October 1912) was the prime minister of Belgium from October 1884 to March 1894, and the 1909 Nobel Peace Prize laureate.",https://en.wikipedia.org/wiki/Auguste_Beernaert,54,"['1829 births', '1912 deaths', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with DTBIO identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with RISM identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with short description', 'Belgian Ministers of State', 'Belgian Nobel laureates', 'Belgian expatriates in Germany', 'Belgian judges of international courts and tribunals', 'Catholic Party (Belgium) politicians', 'Catholic University of Leuven (1834–1968) alumni', 'Finance ministers of Belgium', 'Heidelberg University alumni', 'Inter-Parliamentary Union', 'Members of the Permanent Court of Arbitration', 'Members of the Royal Academy of Belgium', 'Nobel Peace Prize laureates', 'Nobelprize template using Wikidata property P8024', 'Politicians from Ostend', 'Presidents of the Chamber of Representatives (Belgium)', 'Prime Ministers of Belgium', 'Short description is different from Wikidata', 'Use dmy dates from January 2016']",34,0
939,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",The Nobel Peace Prize,1909,1852,France,1924, 1/2 ,, “for their prominent position in the international movement for peace and arbitration” ,,,,,,,0,[],0,0
940,Gabriel Lippmann,The Nobel Prize in Physics,1908,1845,Luxembourg,1921, 1/1 ,"Sorbonne University, Paris, France ", “for his method of reproducing colours photographically based on the phenomenon of interference” ,Western Europe,France,2018,  43 ,"Jonas Ferdinand Gabriel Lippmann (16 August 1845 – 13 July 1921) was a Franco-Luxembourgish physicist and inventor, and Nobel laureate in physics for his method of reproducing colours photographically based on the phenomenon of interference. His parents were French Jews.",https://en.wikipedia.org/wiki/Gabriel_Lippmann,86,"['1845 births', '1921 deaths', '19th-century French Jews', '20th-century French physicists', 'Articles with BIBSYS identifiers', 'Articles with BNC identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with French-language sources (fr)', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with MGP identifiers', ""Articles with Musée d'Orsay identifiers"", 'Articles with NKC identifiers', 'Articles with NLG identifiers', 'Articles with NTA identifiers', 'Articles with PIC identifiers', 'Articles with PortugalA identifiers', 'Articles with RKDartists identifiers', 'Articles with SUDOC identifiers', 'Articles with ULAN identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'CS1 French-language sources (fr)', 'CS1 maint', 'CS1 maint', 'CS1', 'Color scientists', 'Corresponding Members of the Russian Academy of Sciences (1917–1925)', 'Corresponding members of the Saint Petersburg Academy of Sciences', 'Experimental physicists', 'Foreign Members of the Royal Society', 'French Nobel laureates', 'French physicists', 'Jewish physicists', 'Luxembourgian Jews', 'Luxembourgian Nobel laureates', 'Luxembourgian inventors', 'Luxembourgian people of French descent', 'Lycée Henri-IV alumni', 'Members of the French Academy of Sciences', 'Nobel laureates in Physics', 'Nobelprize template using Wikidata property P8024', 'People from Luxembourg City', 'People who died at sea', 'Presidents of the Société Française de Physique', 'Short description is different from Wikidata', 'Use dmy dates from February 2021', 'École Normale Supérieure alumni']",56,1
